gene.id	log.fc	test.stat	p.value	q.value
YBR230C	3.02991187005336	78.7455028996662	7.06493780058702e-19	3.64817005557849e-17
YIL125W	1.92899420079366	78.4461267522078	8.22099442189191e-19	4.21459037772674e-17
YBR068C	2.75424382819217	77.5756223330672	1.27736974498543e-18	6.50181200197585e-17
YGR032W	2.08639138487551	76.5887274434759	2.10537991640358e-18	1.06403810526893e-16
YHL015W	-1.34597912746519	76.1643412083596	2.61012707551479e-18	1.30984264367031e-16
YOR230W	1.71158622383466	76.0220625678754	2.80513040499513e-18	1.39785729132834e-16
YAR035W	3.57309467979641	75.8143854792406	3.11622544445252e-18	1.54209878591449e-16
YOR303W	1.47960327148564	75.7940702010658	3.14845164567031e-18	1.54730113289977e-16
YDR070C	7.13015255955418	74.9300153939735	4.87698899156885e-18	2.38037147629587e-16
YIL018W	-1.08367173014358	74.8587795603836	5.05617154360423e-18	2.45103934828053e-16
YJR008W	3.72255663154004	74.7487215863141	5.34603811479556e-18	2.57404510851575e-16
YGR234W	-1.39992372981985	74.5275628376804	5.97975374969728e-18	2.85984733022435e-16
YGR204W	-1.21787702287363	74.2825733591811	6.7698498589262e-18	3.21613000631387e-16
YJL190C	-1.62228726322817	73.9554733297365	7.98991109133072e-18	3.75770955264392e-16
YHR179W	-1.9856056398126	73.9492052595421	8.01532208815431e-18	3.75770955264392e-16
YBL099W	1.15153698071129	73.7983557850735	8.6518638007281e-18	4.02961970222147e-16
YBR214W	3.10169012128755	73.5172173124201	9.97621539789805e-18	4.61626694320919e-16
YIL094C	-1.37798727773319	73.150816508294	1.20111870406339e-17	5.52204637751984e-16
YBR085C-A	3.35711817569014	72.0308571457202	2.11858448370682e-17	9.67758527621461e-16
YIL101C	4.08350968624442	71.9608373028724	2.19510901845286e-17	9.96327825827713e-16
YIL053W	-1.49702203724206	71.4487693213072	2.84551224095759e-17	1.28336203981417e-15
YIL133C	-1.60341722461022	71.3013846870047	3.06620547096362e-17	1.37420001170357e-15
YMR196W	2.46120772083514	70.6163418394627	4.33907827197451e-17	1.93251698538065e-15
YIL074C	-1.86542360448685	70.5907192658964	4.39580148202103e-17	1.94561996030322e-15
YMR300C	-1.75495246808183	70.0101958612463	5.89987160345436e-17	2.59521512630962e-15
YHR174W	-1.00284990120787	69.5244456549325	7.54732811232304e-17	3.29952516125239e-15
YNL208W	2.01704832554536	69.2698015669232	8.58744212536786e-17	3.7313483283763e-15
YBR299W	4.11204804618655	69.181608695715	8.98015506037365e-17	3.87833848243773e-15
YER055C	-1.4218490019347	68.8578036388385	1.05825023047308e-16	4.54282598936818e-15
YER131W	-1.86255053811939	68.6071843623635	1.20165533352977e-16	5.12754245912163e-15
YCR021C	4.64545633329818	68.3382279821807	1.37724983342526e-16	5.84183471011215e-15
YNL117W	5.44399616583819	68.0807878091611	1.56932280013415e-16	6.61715637500353e-15
YGL135W	-1.1995792472871	67.8892027485511	1.7294562455595e-16	7.24947365050412e-15
YGL076C	-1.19947986072581	66.8925439020165	2.86717282926659e-16	1.19482301645343e-14
