log.fc	test.stat	p.value	q.value	probe.id	gene.id
-5.59780835593917	-25.4876372467302	8.01597069451982e-09	5.65151791933629e-07	1777690_at	YIL101C
-5.69274585653988	-25.3787560257512	8.28653267841523e-09	5.80482237882831e-07	1774354_at	YOL052C-A
-1.88472381846657	-25.281571643181	8.53673946135156e-09	5.94200565819426e-07	1774485_at	YJL066C
-2.42242871363412	-25.260819210821	8.59126351950903e-09	5.94210935070852e-07	1772689_at	YNL015W
-4.30648813531889	-25.2028222505912	8.74573350529486e-09	6.01090413495989e-07	1769854_at	YDR223W
-1.930052788765	-25.135579221608	8.92875866303236e-09	6.0983421668511e-07	1776865_at	YKL071W
-4.55312141158812	-25.057290593121	9.14730488162687e-09	6.1813275205997e-07	1774540_at	YGR248W
1.60396469941289	25.0510264423566	9.16505020332366e-09	6.1813275205997e-07	1775450_at	YLR301W
-2.20849604099191	-25.0317320047271	9.21995228639963e-09	6.1813275205997e-07	1772220_at	YDR178W
-2.26889855810228	-25.0029527352978	9.3025329342891e-09	6.19866340889703e-07	1777010_at	YLL041C
1.88899406161237	24.9417912386905	9.48081363404397e-09	6.27917159956561e-07	1774710_at	YBR104W
-1.78048037309583	-24.8600183233835	9.72521687715861e-09	6.38109982702324e-07	1776828_at	YIL169C
1.89666541358433	24.8513632774852	9.75149772248244e-09	6.38109982702324e-07	1771158_at	YLR342W-A
1.66832222123235	24.7818488729891	9.9655014846172e-09	6.44396451028975e-07	1777217_at	YLR022C
-2.69581223813783	-24.711427845841	1.01877046198947e-08	6.54889624036526e-07	1772692_at	YJL163C
-1.81622100353777	-24.6906199072653	1.02544248788161e-08	6.55323713892995e-07	1777919_at	YKL171W
2.18034018116134	24.6325356263722	1.04432898715894e-08	6.63513207655403e-07	1770650_at	YDR540C
-4.95810954172165	-24.5152230394046	1.08368068412022e-08	6.84535405552932e-07	1775014_at	YML128C
-3.27136315301588	-24.4716506616255	1.09871986130075e-08	6.90046588752562e-07	1778267_at	YOR180C
1.74000860409407	24.4407087487648	1.10954230339589e-08	6.92861616657732e-07	1773828_at	YNL066W
-2.01104471593876	-24.3656456445866	1.1362992545959e-08	6.99483885372668e-07	1774440_at	YMR110C
-2.8975594257781	-24.3475511266534	1.1428574082304e-08	6.99483885372668e-07	1778223_at	YAR035W
-5.8297771080469	-24.3392696850586	1.14587313253722e-08	6.99483885372668e-07	1775729_at	YNL117W
-1.97634449893544	-24.3258999080546	1.15076072744787e-08	6.99483885372668e-07	1773273_at	YBL015W
-3.3004291008009	-24.3221076141192	1.15215134852745e-08	6.99483885372668e-07	1779688_at	YLR164W
-1.94011909083747	-24.2058843713628	1.19570172137624e-08	7.16844798881583e-07	1769627_at	YLR151C
-5.46785770977828	-24.202904111971	1.19684258539733e-08	7.16844798881583e-07	1772558_at	YBR067C
