""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YOR184W"	64	75	49	14	24	23
"YHR218W"	4	11	4	6	5	5
"YMR203W"	28	22	23	25	20	31
"YBL006W-A"	0	0	0	0	0	0
"YIR008C"	2	5	5	5	7	9
"YBL024W"	16	32	15	6	10	10
"YDR317W"	1	2	0	0	2	3
"YOL166C"	0	0	0	0	0	0
"YJL087C"	6	7	3	3	5	9
"YJL038C"	1	0	0	1	0	3
"YDR043C"	4	2	2	6	4	9
"YHR028C"	17	29	18	21	21	24
"YOR340C"	9	16	4	5	2	6
"YCL044C"	7	4	6	5	7	4
"YEL072W"	2	7	6	4	0	4
"YFR022W"	2	2	3	1	9	2
"YIR010W"	5	8	5	7	3	6
"YBL008W"	12	13	8	2	3	8
"YMR178W"	4	11	6	5	1	5
"YOL008W"	3	0	2	1	0	5
"YHR017W"	7	4	3	3	13	12
"YKR101W"	6	3	2	3	5	5
"YMR095C"	2	4	4	2	6	2
"YHR198C"	9	8	4	8	5	6
"YOR076C"	2	4	7	9	3	2
"YGL015C"	0	0	0	0	0	0
"YNL219C"	13	15	8	6	6	10
"YLR210W"	3	2	4	1	4	2
"YIL034C"	6	14	8	12	4	12
"YLR148W"	6	10	7	7	12	11
"YOR342C"	12	10	7	7	5	6
"YOL070C"	8	14	8	10	2	9
"YDL160C"	4	6	5	4	4	7
"YIL043C"	35	31	26	11	11	20
"YLR124W"	1	0	1	0	0	0
"YGR231C"	25	33	23	18	37	26
"YPR202W"	4	7	1	6	7	2
"YGR034W"	68	98	66	25	24	34
"YMR266W"	28	56	37	14	20	26
"YNL021W"	7	5	9	0	9	3
"YPL107W"	3	2	6	5	1	8
"YGR088W"	3	2	0	19	43	44
"YHR173C"	0	1	0	0	0	0
"YCR063W"	0	1	2	0	2	2
"YHR073W-A"	0	0	0	0	0	0
"YDL048C"	1	2	3	3	10	7
"YML092C"	22	23	16	10	24	22
"YPR097W"	14	13	12	5	7	23
"YBR201C-A"	0	1	0	0	0	3
"YNL056W"	4	9	4	0	5	5
"YAL020C"	4	2	1	2	1	3
"YDL025C"	11	11	5	8	14	9
"YDL243C"	1	3	3	5	3	4
"YFL017C"	8	4	2	2	1	2
"YGL197W"	11	23	11	16	14	21
"YLR256W-A"	7	7	4	4	4	3
"YHR092C"	164	168	116	8	7	15
"YLL011W"	10	15	17	4	4	5
"YDR379C-A"	1	0	0	1	5	6
"YDR113C"	2	5	6	6	4	2
"YLR189C"	18	18	12	10	18	15
"YNR074C"	0	0	0	0	0	0
"YOL159C"	0	1	1	0	1	2
"YDL247W"	1	3	2	3	3	1
"YFL028C"	10	12	6	4	5	7
"YML032C"	7	11	8	9	7	10
"YBR256C"	15	26	15	8	19	18
"YOR081C"	3	6	8	5	5	2
"YLR442C"	3	8	8	1	6	5
"YPL024W"	5	2	3	9	9	11
"YMR257C"	5	4	3	0	5	4
"YDL219W"	1	5	1	3	1	3
"YKL122C"	2	8	5	4	3	5
"YKR040C"	0	0	0	0	0	1
"YDL080C"	3	5	4	2	6	5
"YGL240W"	1	0	0	1	2	0
"YEL001C"	10	16	11	7	9	10
"YLR374C"	1	0	0	3	0	2
"YPR168W"	1	2	0	5	2	0
"YDL034W"	0	1	0	0	0	0
"YHR109W"	2	3	6	1	4	2
"YJL060W"	20	26	22	17	28	19
"YPL061W"	122	173	134	154	128	205
"YDR223W"	2	1	1	5	6	16
"YER174C"	9	6	5	5	5	10
"YGR104C"	2	4	5	5	1	3
"YLR240W"	7	6	7	4	10	11
"YPR062W"	10	10	13	4	3	8
"YDR402C"	0	0	1	0	1	0
"YLR037C"	0	0	0	0	0	0
"YMR146C"	28	44	39	10	12	18
"YGR241C"	6	10	3	7	8	7
"YGL062W"	96	120	106	110	107	132
"YPR057W"	7	7	4	7	6	10
"YIL012W"	0	0	0	0	0	1
"YDR156W"	3	8	4	2	3	0
