""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YLR043C"	14	24	20	12	8	14
"YOR031W"	1	1	1	1	2	2
"YBL099W"	65	70	47	93	106	133
"YLR359W"	117	159	158	36	26	31
"YNL054W-A"	0	0	0	0	0	0
"YOR237W"	1	0	0	0	0	1
"YPL217C"	34	42	27	6	4	9
"YKL111C"	2	0	1	1	0	2
"YNR009W"	0	3	2	2	1	2
"YGL194C"	2	1	0	2	2	1
"YLR038C"	10	6	4	9	8	13
"YOR106W"	2	2	2	3	0	5
"YMR030W-A"	1	0	0	0	0	0
"YJR056C"	1	4	0	2	2	2
"YMR236W"	3	5	5	6	3	6
"YLR287C-A"	35	45	32	18	20	22
"YPR130C"	0	0	0	0	0	0
"YER039C"	0	0	1	2	4	4
"YDR044W"	3	5	6	5	6	5
"YNL314W"	2	7	0	0	2	7
"YLR118C"	3	2	4	3	4	1
"YAR073W"	0	2	2	0	2	1
"YDR387C"	4	5	1	7	5	2
"YIL071C"	4	1	1	3	5	8
"YOL130W"	16	12	11	8	7	11
"YDR169C"	4	8	9	6	10	12
"YLR157C-C"	0	0	0	0	0	0
"YER178W"	32	42	33	44	53	47
"YBL094C"	0	0	0	0	0	0
"YDR514C"	5	9	5	1	3	3
"YIR019C"	13	7	10	1	3	3
"YEL045C"	0	0	0	2	0	0
"YGL177W"	0	0	0	0	0	0
"YDR333C"	3	13	13	6	11	9
"YMR210W"	2	7	2	4	6	5
"YDR124W"	0	0	0	0	1	0
"YKR061W"	2	1	1	2	2	6
"YOR338W"	1	1	1	4	6	7
"YER088C"	8	9	8	10	7	19
"YLR467W"	2	4	1	3	2	3
"YML116W-A"	2	0	0	0	1	0
"YDR360W"	0	0	1	1	0	0
"YPL283W-A"	0	0	0	0	0	0
"Q0130"	0	0	0	0	0	0
"YDR115W"	6	4	2	3	2	4
"YOR334W"	1	3	3	1	5	3
"YGR256W"	0	1	1	28	31	55
"YPR021C"	13	8	2	3	7	6
"YKR097W"	0	0	0	10	1	0
"YFL031C-A"	0	0	0	0	0	0
"YOL038C-A"	0	0	0	0	0	0
"YHR218W-A"	0	1	1	1	0	3
"YMR107W"	1	1	0	39	61	99
"YDR451C"	11	9	5	4	1	2
"YCL063W"	8	8	9	5	8	3
"YJL192C"	19	20	14	3	4	9
"YBR039W"	31	25	27	21	38	50
"YHR177W"	2	5	1	2	2	0
"YER023C-A"	0	0	0	0	0	0
"YGL214W"	0	0	0	1	0	1
"YIR027C"	0	1	2	0	0	3
"YAL042W"	21	29	18	9	16	18
"YIL007C"	3	3	4	4	6	3
"YPR036W"	25	44	31	15	23	39
"YOR030W"	6	7	4	0	5	5
"YHR181W"	3	11	8	3	3	5
"YPL267W"	1	1	5	2	6	4
"YOL051W"	22	22	18	22	27	37
"YDR188W"	47	51	35	23	29	39
"YMR243C"	27	51	35	10	16	10
"YAL067W-A"	0	0	0	0	0	0
"YLR154W-F"	0	0	0	0	0	0
"YNR034W-A"	0	0	0	7	4	9
"YCR049C"	1	0	2	0	0	0
"YHR180W"	1	0	1	0	1	3
"YEL023C"	3	2	3	2	3	3
"YNL057W"	1	0	0	0	0	0
"YNL045W"	7	10	9	4	11	6
"YPL080C"	0	0	0	0	0	0
"YPR141C"	4	7	5	5	6	3
"YJR061W"	7	3	4	14	16	16
"YIL104C"	3	8	8	1	3	3
"YLL035W"	3	9	7	0	4	3
"YHR214C-C"	0	0	0	0	0	0
"YNL282W"	3	1	0	1	2	1
"YNL338W"	0	0	0	0	0	0
"YLR424W"	2	2	3	7	8	7
"YBR243C"	3	9	8	2	2	2
"YDR520C"	6	4	5	1	2	4
"YFL064C"	3	2	1	4	2	1
"YGL137W"	33	59	47	17	26	34
"YMR234W"	4	4	2	1	6	6
"YNL212W"	8	10	9	6	7	14
"YJL026C-A"	0	0	0	0	0	0
"YMR112C"	5	0	0	1	0	0
"YGL212W"	6	2	1	1	2	2
"YHR005C-A"	12	17	11	2	10	7
"YHL009W-A"	0	0	0	0	0	0
"YJL156W-A"	0	2	1	0	3	1
"YJL134W"	9	18	2	5	6	5
"YLR454W"	16	29	20	19	23	17
"YJL127C-B"	2	0	0	0	1	0
"YOR105W"	0	0	0	0	0	0
"YDR080W"	9	12	1	8	12	15
"YKL064W"	18	17	10	14	19	30
"YNR023W"	3	4	3	6	7	6
"YBL096C"	0	0	0	1	2	0
"YPL253C"	3	5	4	3	3	2
"YHR073C-B"	0	0	0	0	0	0
"YLR261C"	0	0	0	0	0	0
"YBR096W"	9	10	10	2	2	0
"YJR042W"	12	15	16	12	13	11
"YGR150C"	11	13	7	5	9	12
"YDR089W"	10	30	13	3	7	4
"YGR074W"	2	5	2	0	2	0
"YLR390W-A"	33	47	38	26	27	42
"YGL180W"	1	4	4	11	15	17
"YHR043C"	2	4	4	6	4	3
"YPR101W"	1	2	1	0	3	5
"YBR146W"	18	15	14	11	4	14
"YDR017C"	8	11	10	3	5	14
"YDR085C"	1	5	3	9	5	9
"YHR011W"	3	1	3	3	1	6
"YKL053W"	0	0	0	1	0	0
"YPL043W"	16	27	20	9	6	14
"YPR146C"	1	1	0	1	2	1
"YDL235C"	7	3	9	2	3	5
"YCL041C"	1	2	0	2	2	2
"YLR278C"	5	13	10	11	2	18
"YGL158W"	0	1	0	0	0	0
"YHR070C-A"	1	1	0	0	0	0
"YLR348C"	4	8	5	10	9	12
"YGR186W"	10	31	17	17	24	29
"YAL028W"	2	0	1	1	0	3
"YDL002C"	4	4	3	4	5	2
"YDR099W"	23	26	27	27	40	38
"YJL213W"	8	7	5	0	1	0
"YNL278W"	4	6	5	3	3	5
"YNL173C"	13	18	16	29	23	22
"YLR313C"	0	3	2	5	4	0
"YMR216C"	11	14	9	5	7	2
"YER039C-A"	1	0	0	2	2	0
"YJL009W"	3	3	0	0	1	5
"YLR196W"	21	30	19	9	9	8
"YMR306W"	2	3	4	4	5	2
"YBR085C-A"	7	2	1	19	27	42
"YDL059C"	5	6	8	0	4	5
"YOR329C"	13	17	8	9	7	16
"YHL035C"	2	10	2	6	4	6
"YHL004W"	11	12	15	6	10	10
"YJR116W"	3	5	2	0	1	1
"YBR073W"	15	29	15	11	7	9
"YDR449C"	11	9	12	2	4	5
"YPR064W"	0	0	0	0	0	0
"YDL088C"	8	9	12	6	6	13
"YBR215W"	6	8	6	4	4	5
"YDR435C"	5	3	1	2	5	3
"YNL161W"	15	16	7	12	12	17
"YLR331C"	0	0	0	0	0	0
"YDL052C"	4	15	8	3	5	5
"YFL058W"	1	0	0	1	0	3
"YGR295C"	15	25	22	11	13	25
"YFR031C"	10	14	16	8	5	13
"YMR144W"	5	4	2	3	5	7
"YBR084C-A"	81	107	71	29	46	48
"YDR161W"	5	17	11	7	4	5
"YER062C"	9	5	6	5	3	10
"YCR068W"	2	5	3	3	12	5
"YPR051W"	0	1	2	0	1	1
"YCR094W"	2	12	2	3	8	4
"YLR253W"	15	15	13	19	18	14
"YOR285W"	18	26	18	60	57	70
"YJL001W"	20	21	21	13	19	32
"YGR068W-A"	0	0	0	0	0	0
"YLL022C"	5	4	3	4	8	6
"YGL237C"	0	1	3	3	4	3
"YHR067W"	1	4	3	0	5	4
"YOR266W"	3	2	3	3	1	7
"YBR044C"	11	4	9	8	7	7
"YDR120C"	16	27	26	5	7	17
"YLR071C"	9	20	11	6	7	11
"YGR151C"	0	0	0	0	1	0
"YJL012C"	15	27	12	9	10	10
"YER126C"	11	23	16	7	12	5
"YMR246W"	27	26	27	46	54	73
"YLR201C"	3	4	4	3	11	7
"YPL031C"	9	3	6	7	5	14
"YJL098W"	14	18	14	10	11	5
"Q0142"	0	0	0	0	0	0
"YBR059C"	15	9	8	11	14	17
"YDR445C"	0	0	0	0	0	0
"YFL015W-A"	0	0	0	0	0	0
"YGR020C"	12	14	12	2	3	3
"YHR091C"	8	10	12	6	2	10
"YIR039C"	4	0	0	1	2	4
"YAR047C"	0	0	0	0	0	0
"YML066C"	0	1	1	1	1	4
"YDR501W"	0	0	1	2	0	1
"YNL088W"	18	21	21	14	18	17
"YKR043C"	23	31	24	6	13	17
"YNL053W"	8	6	2	1	4	1
"YDR137W"	4	7	8	3	4	5
"YDR400W"	2	3	3	3	0	3
"YBR231C"	5	3	4	4	6	2
"YDL120W"	5	4	3	4	6	2
"YER082C"	14	14	11	5	6	13
"YHL043W"	0	2	0	0	1	3
"YLR151C"	2	0	1	5	2	9
"YFR021W"	4	3	2	3	4	2
"YML121W"	4	7	2	9	5	10
"YNL033W"	0	0	1	0	0	0
"YLR310C"	20	35	22	12	31	36
"YDR048C"	0	0	0	1	0	1
"YGR087C"	3	0	1	11	19	19
"YGR244C"	17	20	13	49	58	68
"YGL255W"	1	2	1	3	3	5
"YNL036W"	20	10	19	110	108	129
"YHR046C"	6	6	4	1	3	4
"YKR071C"	30	30	30	10	17	23
"YOR016C"	5	11	4	5	5	2
"YGR063C"	2	1	0	0	1	1
"YLL019W-A"	0	0	0	0	0	0
"YML065W"	13	7	10	6	11	11
"YPR005C"	2	0	1	3	2	6
"YAR003W"	5	5	3	5	6	3
"YGR223C"	5	2	4	3	9	7
"YHR021W-A"	0	0	0	0	0	0
"YFL062W"	2	1	1	0	0	4
"YDR537C"	0	0	0	0	0	0
"YMR267W"	7	7	2	3	6	4
"YPL093W"	29	49	37	7	16	24
"YJR034W"	0	1	2	1	3	3
"YNL077W"	3	4	0	4	11	13
"YPL160W"	57	102	75	26	32	56
"YGL185C"	4	5	2	4	6	7
"YDR456W"	12	13	6	4	10	12
"YKL175W"	11	19	18	9	12	15
"YGL190C"	6	18	9	8	11	16
"YMR262W"	1	3	1	3	2	6
"YOR101W"	9	5	4	3	4	14
"YGL005C"	4	7	4	3	4	5
"YNL125C"	5	5	1	10	10	18
"YBL019W"	5	2	2	4	5	8
"YBR043C"	10	7	8	5	11	14
"YDL231C"	6	13	13	10	8	14
"YML101C"	4	0	5	2	0	0
"YKL037W"	0	0	0	0	0	0
"YOL094C"	5	7	3	3	2	3
"YMR077C"	3	0	3	1	1	1
"YPR007C"	0	0	0	2	0	0
"YIL067C"	7	3	3	6	3	4
"YMR108W"	70	107	65	64	69	102
"YJL033W"	16	31	13	11	8	11
"YKL179C"	12	7	12	7	10	4
"YPL126W"	18	35	18	7	4	9
"YEL041W"	2	3	4	22	32	39
"YGL208W"	4	2	0	5	11	11
"YLL036C"	10	7	2	3	3	4
"YNL113W"	1	6	2	0	0	1
"YKR099W"	4	6	9	3	2	6
"YGL025C"	2	6	5	7	3	2
"YBR171W"	7	15	5	5	8	6
"YDL005C"	7	8	8	4	8	10
"YNL031C"	55	65	55	33	29	32
"YGR226C"	0	0	0	0	0	0
"YOR146W"	1	0	0	0	0	1
"YDL056W"	4	15	7	4	5	9
"YML120C"	22	21	15	44	54	58
"YOR384W"	4	2	6	6	9	8
"YLL021W"	22	39	29	14	11	17
"YGR048W"	7	9	4	9	4	7
"YOL149W"	7	7	8	3	2	8
"YHR032W-A"	1	1	0	0	0	1
"YML129C"	2	2	2	1	2	3
"YIL059C"	0	0	0	0	0	0
"YBR220C"	6	8	8	2	4	4
"YLR317W"	0	0	0	0	0	0
"YPL058C"	16	15	16	22	47	54
"YOL154W"	0	1	1	1	4	5
"YBR227C"	9	19	11	8	6	6
"YER165W"	47	93	55	50	69	67
"YNR056C"	0	2	2	4	1	1
"YNL327W"	54	70	37	17	18	26
"YOR130C"	0	6	5	3	4	4
"YJL181W"	3	5	3	1	5	5
"YDL039C"	10	11	14	0	1	1
"YER016W"	15	9	9	7	5	6
"YPL099C"	2	2	0	4	2	5
"YNL242W"	6	3	3	4	7	6
"YDR365W-B"	30	36	26	15	14	14
"YLR099W-A"	1	2	1	3	1	5
"YMR058W"	39	95	37	12	7	8
"YNL297C"	10	11	12	14	7	15
"YAL018C"	0	0	1	1	1	0
"YOL078W"	0	8	3	4	6	2
"YEL002C"	17	27	16	11	9	17
"YJL156C"	2	10	6	14	7	7
"YCL032W"	0	5	0	7	5	10
"YMR166C"	5	4	2	1	2	3
"YNL146C-A"	0	0	0	0	0	0
"YDR034C-A"	0	0	0	0	0	0
"YPL050C"	26	34	17	10	19	15
"YDR510W"	8	8	8	4	8	8
"YER158W-A"	4	2	3	2	3	2
"YLR327C"	3	0	0	47	52	59
"YPL277C"	0	1	0	0	1	0
"YOR139C"	0	0	0	0	0	0
"YBR116C"	0	0	0	0	1	3
"YLR142W"	2	2	0	2	5	5
"YPL257W"	0	0	1	2	4	2
"YLR104W"	5	2	5	4	1	6
"YNL222W"	3	2	0	1	1	3
"YKR051W"	5	3	2	3	3	0
"YLR291C"	8	5	6	3	1	8
"YBR293W"	5	4	0	6	4	1
"YLR412W"	3	6	6	3	3	3
"YFR040W"	6	16	15	16	13	18
"YNR067C"	21	35	31	16	6	13
"YNL074C"	7	17	9	7	12	5
"YBR021W"	11	9	5	9	10	4
"YML021C"	2	3	0	1	3	2
"YER038C"	4	2	0	2	1	0
"YNL044W"	9	8	7	3	7	3
"YHR007C-A"	0	0	0	0	0	2
"YER060W-A"	3	5	7	0	1	1
"YDR203W"	0	0	0	0	0	1
"YER173W"	4	2	2	6	7	2
"YOR190W"	0	0	0	1	4	5
"YML048W"	25	40	22	21	34	32
"YBR130C"	7	12	7	4	3	2
"YPR072W"	8	17	6	5	7	16
"YFR012W-A"	0	0	0	0	0	0
"YHR048W"	1	4	1	3	1	1
"YHL006C"	0	0	0	1	0	0
"YHL034C"	11	20	25	14	19	23
"YDR418W"	27	43	23	9	8	9
"YGR270C-A"	0	0	0	0	0	0
"YLR183C"	9	11	4	3	4	8
"YIR024C"	2	2	0	6	6	5
"YCR038C"	2	1	2	0	0	2
"YOL155C"	29	37	25	151	117	142
"YIL009C-A"	0	2	1	2	3	2
"YJR040W"	6	7	10	4	5	10
"YJL037W"	0	0	0	1	0	3
"YOR059C"	2	10	8	4	6	5
"YMR325W"	0	0	0	0	0	1
"YGL149W"	0	1	0	1	0	0
"YGR271W"	5	17	14	10	6	7
"YGR173W"	10	4	9	3	0	8
"YNR002C"	0	0	0	19	29	48
"YMR172C-A"	1	0	0	0	0	0
"YIL158W"	4	5	5	3	2	4
"YBR086C"	29	21	19	13	20	40
"YLR361C-A"	2	2	1	2	5	3
"YOR027W"	41	72	36	101	125	157
"YER048W-A"	8	5	3	5	4	6
"YML090W"	0	1	1	0	0	0
"YDR210W-B"	5	7	5	3	6	6
"YHR164C"	7	11	5	2	7	11
"YGR278W"	2	5	2	2	4	8
"Q0085"	0	0	0	0	0	0
"YPR150W"	0	0	0	1	1	0
"YKL204W"	7	14	15	13	9	11
"YDR462W"	3	3	5	7	2	7
"YMR273C"	6	6	3	6	2	5
"YJL162C"	3	6	0	0	1	4
"YMR175W-A"	0	0	0	0	0	0
"YLL054C"	4	8	8	3	5	2
"YDL055C"	107	135	91	29	46	60
"YPR080W"	546	778	621	412	465	591
"YFL017W-A"	2	0	0	1	0	1
"YOL019W"	10	13	7	2	8	3
"YGL127C"	1	3	1	2	2	1
"YLR266C"	10	6	5	6	7	5
"YGR268C"	3	2	2	1	1	1
"YHL033C"	72	78	82	27	36	34
"YGL063C-A"	0	0	0	0	0	0
"YKR076W"	2	3	1	16	19	13
"YJR130C"	12	8	8	8	21	12
"YEL007W"	12	19	7	12	7	21
"YMR285C"	6	12	7	0	3	3
"YBR104W"	12	13	8	4	5	4
"YPL263C"	19	23	17	7	6	2
"YER096W"	1	2	2	4	8	12
"YOR325W"	0	0	0	0	0	0
"YIL128W"	6	7	7	7	6	6
"YDR311W"	6	6	8	3	5	2
"YKL088W"	8	8	6	8	5	6
"YJL046W"	6	8	6	5	6	11
"YLR228C"	4	2	8	6	5	8
"YER053C-A"	1	4	0	2	3	5
"YKL056C"	132	158	97	28	52	55
"YPL037C"	29	51	42	21	21	28
"YDR459C"	2	10	4	2	2	2
"YOR357C"	1	4	3	1	1	7
"YNR004W"	1	1	2	0	0	1
"YNL192W"	38	29	23	20	33	30
"YGL068W"	3	6	8	1	2	5
"YNL339W-B"	0	0	0	0	0	0
"YKL096C-B"	0	0	0	0	0	0
"YDL157C"	5	11	3	3	4	3
"YOR007C"	45	64	50	51	62	75
"YJL029C"	6	7	11	7	5	6
"YBR105C"	2	5	2	7	3	1
"YDL013W"	3	8	3	3	5	9
"YJR052W"	2	4	2	4	12	6
"YGL200C"	33	39	19	8	20	26
"YNL194C"	0	1	1	6	7	9
"YDR260C"	3	2	1	1	4	4
"YPL012W"	24	32	27	10	14	12
"YBL047C"	25	37	30	26	40	41
"YKR001C"	28	33	31	18	18	38
"YNR072W"	0	0	0	0	0	0
"YLR157W-E"	0	0	0	0	0	0
"YBR154C"	9	19	14	4	6	7
"YPL156C"	0	1	0	6	4	10
"YKL048C"	3	1	3	2	2	4
"YJL020C"	15	19	16	20	25	29
"YPL105C"	22	40	21	14	12	14
"YLR251W"	0	1	1	1	3	4
"YHR049C-A"	0	0	0	0	0	0
"YGR113W"	4	11	7	2	6	6
"YEL018C-A"	0	0	0	0	0	0
"YHL006W-A"	0	2	1	0	1	0
"YGL008C"	680	978	721	286	288	312
"YBR253W"	2	3	2	0	1	1
"YLR212C"	6	10	6	6	5	1
"YCR020C"	1	1	0	0	1	1
"YDR340W"	0	0	0	0	0	0
"YJR141W"	3	6	3	3	2	5
"YHR060W"	8	3	6	3	5	4
"YDR361C"	5	20	14	3	6	7
"YPL009C"	18	23	22	6	15	19
"YNL027W"	9	9	5	5	5	12
"YNL065W"	6	9	2	1	1	2
"YNL211C"	0	0	0	0	0	3
"YHL038C"	6	5	8	7	5	6
"YPL070W"	3	6	5	6	3	6
"YOL111C"	6	8	2	3	5	4
"YDR075W"	4	2	2	2	2	7
"YER009W"	13	20	19	7	8	14
"YMR219W"	9	9	8	9	10	15
"YFL034C-B"	4	9	3	2	2	4
"YIR011C"	5	10	4	5	4	5
"YMR297W"	32	38	29	50	85	86
"YIL139C"	0	0	1	0	2	0
"YJR021C"	5	5	2	2	0	6
"YDR254W"	4	8	1	3	7	3
"YNL301C"	28	40	36	6	11	21
"YPL005W"	2	5	1	0	3	1
"YGL105W"	35	48	40	22	23	31
"YBR255C-A"	2	2	2	2	5	4
"YDL224C"	5	13	5	9	5	19
"YKL188C"	2	5	0	8	13	17
"YGR090W"	23	26	27	8	9	11
"YKL062W"	8	7	12	1	3	10
"YER044C"	6	10	7	6	3	10
"YNL315C"	10	12	5	5	6	11
"YLL049W"	1	1	1	3	1	2
"YKL216W"	18	30	18	4	4	5
"YJL158C"	46	34	15	9	16	28
"YDR162C"	4	3	5	0	1	13
"YCR024C-B"	12	28	22	10	20	22
"YJL202C"	2	0	1	1	2	1
"YCR059C"	4	4	8	0	1	4
"YDL183C"	2	1	1	5	4	1
"YKR046C"	17	36	14	40	40	65
"YCL039W"	4	6	5	5	8	9
"YER140W"	2	4	3	1	2	4
"YPL069C"	2	2	2	0	1	5
"YOR386W"	4	2	0	2	4	3
"YLR365W"	0	0	0	0	0	0
"YPL151C"	4	3	6	6	4	7
"YNL042W"	0	3	0	1	0	3
"YHR207C"	6	9	3	5	9	9
"YCR064C"	0	1	0	0	0	0
"YDR171W"	8	6	2	48	59	83
"YPL157W"	5	7	3	3	2	4
"YLR227W-A"	0	0	0	0	0	0
"YDR479C"	6	10	6	7	5	8
"YAL034W-A"	1	2	1	1	1	1
"YBR013C"	1	0	0	1	1	1
"YOR258W"	0	0	1	1	1	2
"YNR057C"	2	2	3	3	0	5
"YJL113W"	1	0	0	1	1	0
"YIL015W"	13	15	12	3	4	2
"YGR161W-C"	0	0	2	4	5	6
"YHR127W"	4	2	4	5	1	7
"YFL018C"	31	31	27	54	39	50
"YNL328C"	1	0	0	1	0	0
"YCL049C"	4	6	4	4	5	2
"YLR072W"	8	10	6	4	6	9
"YHR111W"	5	12	9	9	14	9
"YGL055W"	109	91	64	143	164	217
"YBR288C"	6	10	11	1	3	6
"YOL055C"	5	3	2	1	1	9
"YOR347C"	3	5	0	8	6	4
"YGL065C"	7	14	7	1	4	8
"YHR013C"	6	8	4	2	2	4
"YOR307C"	4	8	6	5	3	2
"YAL042C-A"	0	0	0	1	0	0
"YNL144C"	0	2	2	5	8	6
"YIR038C"	4	5	3	7	23	28
"YLR230W"	1	2	1	1	1	1
"YAL046C"	1	2	5	5	3	2
"YPL193W"	4	2	2	8	13	9
"YER147C-A"	0	1	0	0	1	2
"YJL045W"	0	2	1	17	26	31
"YGR208W"	18	17	11	2	3	5
"YDR347W"	5	5	9	7	13	9
"YER190C-B"	0	0	0	0	0	0
"YKR078W"	2	1	6	2	2	3
"YDR201W"	3	4	1	0	4	1
"YPR087W"	2	0	0	0	0	0
"YLR027C"	51	52	55	27	21	30
"YOR275C"	5	9	5	1	7	3
"YML077W"	2	2	5	2	3	4
"YGL245W"	64	85	72	26	37	49
"YHR058C"	6	1	2	0	0	1
"YPR181C"	28	49	39	19	21	21
"YDL025W-A"	0	0	0	0	0	0
"YER190W"	1	5	3	1	0	1
"YBR106W"	48	74	52	10	21	25
"YHR018C"	74	87	69	61	54	86
"YPL197C"	1	2	4	1	3	1
"YBR170C"	12	7	8	11	12	10
"YMR304W"	9	15	8	17	21	25
"YDL211C"	1	1	0	1	0	3
"YPL078C"	39	51	18	38	35	57
"YDR273W"	2	1	0	0	3	2
"YOL007C"	7	7	5	2	2	2
"YDR399W"	36	67	32	18	15	31
"YLR064W"	5	3	3	0	8	4
"YKL181W"	27	37	34	11	16	22
"YML047W-A"	0	0	0	0	0	0
"YGR192C"	730	911	809	428	608	695
"YGL045W"	1	2	0	4	6	2
"YDL078C"	14	22	13	23	36	49
"YOL041C"	14	27	19	10	17	12
"YMR226C"	30	29	22	15	14	21
"YHR200W"	21	21	18	7	16	18
"YDR524C"	2	5	7	4	7	5
"YLR111W"	0	0	0	0	0	1
"YBR219C"	0	0	0	1	0	1
"YMR122C"	0	1	1	0	0	0
"YGR270W"	22	30	19	6	14	13
"YPR125W"	6	7	8	10	8	8
"YEL046C"	15	20	10	17	16	19
"YIR015W"	1	0	0	1	3	2
"YGR136W"	2	5	3	3	1	7
"YMR242C"	61	79	76	21	21	48
"YLR379W"	4	2	1	2	1	3
"YDR204W"	3	1	2	5	7	7
"YPL161C"	4	0	3	3	3	3
"YMR145C"	59	64	46	80	92	109
"YIR017W-A"	0	0	0	0	0	0
"YLL031C"	16	33	14	10	9	11
"YDR300C"	10	15	13	5	6	9
"YLR229C"	9	6	10	7	5	7
"YLR421C"	17	14	14	3	6	8
"YJR151C"	0	3	3	6	6	13
"YMR307C-A"	0	0	0	0	0	0
"YPL096W"	2	5	6	1	2	8
"YML038C"	8	11	4	1	3	10
"YJL082W"	4	8	7	14	14	13
"YIL006W"	0	2	1	0	1	0
"YLR392C"	2	4	1	5	8	6
"YGR075C"	0	1	2	0	2	4
"YBR268W"	3	4	1	2	1	3
"YDR316W"	12	8	7	5	7	13
"YNR070W"	0	0	0	0	0	0
"YKR020W"	2	3	4	3	2	4
"YOL164W-A"	0	1	0	0	0	0
"YPR142C"	1	0	0	0	0	0
"YNL145W"	6	2	3	2	3	4
"YHR068W"	29	37	28	2	4	5
"YEL010W"	0	0	0	0	0	0
"YOL013W-B"	0	0	0	0	0	0
"YGL160W"	10	8	5	4	5	10
"YGR042W"	1	1	2	1	2	4
"YDR430C"	21	15	14	10	13	6
"YPR160W"	6	1	1	15	22	27
"YER007W"	1	9	2	4	4	3
"YGR095C"	3	3	2	4	6	7
"YCR041W"	0	0	0	0	0	1
"YFL033C"	14	10	12	11	9	16
"YDL089W"	5	7	6	5	3	2
"YDR522C"	1	1	0	0	1	0
"YEL062W"	2	7	1	2	1	4
"YBR026C"	0	3	1	31	63	64
"YLR143W"	5	8	10	3	4	7
"YMR125W"	19	26	34	15	27	18
"YLR126C"	5	2	7	0	2	2
"YGL086W"	10	15	4	11	7	12
"YNL129W"	4	7	4	3	2	3
"YGL048C"	34	30	30	23	32	29
"YER106W"	0	0	0	0	0	0
"YBR083W"	9	7	7	9	5	4
"YJR012C"	1	2	2	0	0	3
"YGR169C"	4	4	3	3	1	4
"YDR509W"	1	2	0	1	0	0
"Q0010"	0	0	0	0	0	0
"YMR074C"	9	15	5	7	5	8
"YJL127W-A"	0	0	0	0	0	0
"YDR341C"	46	56	38	26	28	32
"YDR521W"	0	0	0	0	0	0
"YMR269W"	5	0	5	2	3	2
"YJR112W-A"	0	2	1	2	3	4
"YHR138C"	4	1	1	6	12	23
"YBL039C-A"	0	0	0	0	0	0
"YFL021W"	8	19	8	9	13	6
"YPL144W"	1	4	2	1	1	0
"YML026C"	94	109	89	27	30	41
"YEL053C"	2	8	13	4	11	3
"YHL020C"	10	10	13	12	9	17
"YGR106C"	30	48	24	9	11	16
"YLR444C"	0	0	0	0	0	0
"YJR128W"	0	0	0	1	0	0
"YMR194C-B"	0	0	0	2	1	0
"YLR452C"	9	18	11	2	5	4
"YMR005W"	7	13	13	4	4	11
"YOL099C"	0	0	0	0	0	0
"YLR363C"	2	2	1	0	1	3
"YIL023C"	4	4	7	3	3	5
"YGL115W"	1	7	5	3	6	8
"YKL138C"	0	4	2	5	4	7
"YOL109W"	89	104	98	47	56	77
"YGL002W"	3	4	8	3	5	5
"YOR312C"	99	120	80	39	23	54
"YLR179C"	16	29	19	6	1	1
"YNL230C"	1	3	0	2	2	2
"YHL028W"	5	5	4	0	1	2
"YCR015C"	4	3	3	1	1	1
"YPR199C"	1	2	0	5	3	0
"YMR313C"	8	9	7	3	6	9
"YLR361C"	4	5	4	5	6	13
"YBR077C"	4	3	2	2	4	4
"YOR298W"	0	1	1	0	1	1
"YDR380W"	3	4	2	12	7	9
"YMR135W-A"	0	0	0	0	0	1
"YGL226C-A"	10	4	1	2	1	6
"YDL177C"	1	1	1	3	0	1
"YOL084W"	3	2	1	12	15	30
"YLR069C"	26	24	26	13	21	22
"YDR060W"	26	57	30	18	20	22
"YDL096C"	0	2	1	2	0	0
"YGR149W"	7	7	7	3	8	2
"YPL213W"	2	3	3	3	0	3
"YPL203W"	1	1	6	8	12	16
"YLL041C"	12	6	9	70	55	75
"YGL258W-A"	0	0	0	0	0	0
"YBL026W"	6	3	3	2	5	4
"YBR076C-A"	0	1	0	0	0	1
"YNR021W"	39	31	33	13	15	15
"YGR080W"	5	8	8	4	8	11
"YBL055C"	10	4	4	4	1	8
"YBR195C"	5	8	1	4	2	5
"YCR096C"	1	1	0	1	2	1
"YIL172C"	1	0	1	2	4	1
"YPL191C"	3	1	1	2	4	5
"YMR013C"	7	3	6	2	4	4
"YPL148C"	1	2	0	2	2	1
"YFL038C"	28	29	18	33	26	27
"YPL088W"	4	1	0	1	0	1
"YPL240C"	61	79	60	131	172	227
"YIL037C"	1	1	0	1	1	1
"YGL145W"	6	9	8	6	9	6
"YLR232W"	0	0	0	0	1	1
"YNL004W"	24	22	25	14	10	20
"YPR060C"	7	7	2	1	2	2
"YEL018W"	3	2	1	1	0	1
"YEL043W"	11	19	13	8	7	5
"YHR069C"	6	9	6	4	3	1
"YLR323C"	1	2	4	1	1	3
"YGL172W"	15	9	9	5	14	5
"YPL053C"	22	23	14	6	5	18
"YJR070C"	26	27	17	3	11	12
"YPL283C"	43	80	54	64	77	83
"YDL143W"	25	48	31	18	18	18
"YDR257C"	8	12	3	5	2	4
"YKL162C"	2	0	0	2	2	2
"YHL027W"	19	13	17	8	13	18
"YAR068W"	1	1	1	1	5	3
"YMR290C"	17	23	22	4	8	12
"YGR296C-A"	0	0	0	0	0	0
"YDL021W"	1	0	0	5	7	7
"YDR452W"	26	56	23	24	22	27
"YPL211W"	8	11	12	2	4	2
"YBR074W"	14	34	18	5	13	12
"YAL038W"	158	218	174	52	78	104
"YBL071W-A"	1	2	1	1	0	3
"YMR024W"	11	18	11	2	8	8
