gene.id	log.fc	test.stat	p.value	q.value
YJL116C	4.32340923076314	1337.81850259927	6.83629357341964e-293	1.35524341082761e-290
YGR292W	4.95987755298569	1333.52719506351	5.85278965088947e-292	1.12614558517997e-289
YPL147W	4.04316339985887	1293.98591823924	2.29175575765541e-283	4.28361890473763e-281
YPR006C	4.09613005183295	1277.24340837594	9.96739598178187e-280	1.81129734757825e-277
YIL155C	4.79409982086295	1258.32218302351	1.28976149899857e-275	2.28043776390504e-273
YJR008W	4.22250070021768	1234.44761539944	1.99048469447349e-270	3.42677654506462e-268
YOL052C-A	7.19346516716021	1210.29479447455	3.53151475493626e-265	5.92388962225462e-263
YGR256W	5.94350840451459	1203.49300550048	1.06211737167678e-263	1.73709296137738e-261
YOR173W	4.75772566833193	1203.21565060808	1.22025143777326e-263	1.94704509900309e-261
YBR117C	5.25888665840926	1199.06720101089	9.72797493781595e-263	1.51524790579028e-260
YIL101C	3.92835131878219	1174.59915223874	2.0214412901563e-257	3.07541137679127e-255
YBR046C	3.73942174933771	1161.83016947308	1.20442560627241e-254	1.79076189005321e-252
YKL163W	5.21956023643361	1154.30660019583	5.19888966082387e-253	7.55803025802439e-251
YPR160W	4.48971909523484	1124.05793627947	1.95020682949927e-246	2.77353327795309e-244
YPL223C	8.65101421246525	1117.99043552637	4.06251462527482e-245	5.65467461245699e-243
YPL054W	4.50773590584069	1102.15850777117	1.12136198415375e-241	1.52832293756955e-239
YMR081C	4.53730720558793	1095.17803364579	3.68904278330681e-240	4.92524854865167e-238
YGL156W	3.93644626870459	1088.44024751543	1.07483792702342e-238	1.40631794371745e-236
YNL009W	4.13004481492022	1081.4974936909	3.47000266302564e-237	4.45112890617916e-235
YBR299W	4.83553054502571	1069.58462552753	1.34764961782446e-234	1.69544688457839e-232
YNL202W	4.32049158841145	1062.68225134274	4.26394643109817e-233	5.26315802872532e-231
YOR388C	4.7299538941105	1052.96670239118	5.51451129544366e-231	6.68072831385045e-229
YEL011W	3.72101569455801	1052.45926131186	7.10887593434674e-231	8.45568479318116e-229
YHL024W	3.29487970111034	1049.92028532876	2.53312169810223e-230	2.95922895517586e-228
YKL188C	3.4553154344385	1034.7113754677	5.12143151542403e-227	5.87796578489544e-225
YLR149C	4.25243341098166	1012.49072828202	3.4613739087761e-222	3.90419105365746e-220
YNL014W	4.64552877706634	1008.64597157354	2.37110806869893e-221	2.62911677719125e-219
YOR120W	3.64026202234733	1006.91234012562	5.64647544641272e-221	6.15654039507201e-219
YNL195C	5.07051968267956	996.192500283317	1.20748200888963e-218	1.29497496756656e-216
YDR070C	6.91048968096806	987.026633745783	1.18638724277981e-216	1.25182989391379e-214
YBR230C	3.49686159244074	986.869279090353	1.28360130085098e-216	1.33290789050271e-214
YIR016W	3.7089313096948	973.313228985815	1.13523672080923e-213	1.16042478555218e-211
YEL040W	-3.5269160947513	967.222381234108	2.39363300076805e-212	2.40909955246532e-210
YDL222C	4.99448288304346	961.84319372236	3.53461261367622e-211	3.50355086646512e-209
YBR068C	3.32797871431099	945.620402743271	1.18785147081375e-207	1.15983945105426e-205
YMR206W	5.61008147788041	930.643799961627	2.13968298743537e-204	2.05850089761797e-202
YMR303C	3.99916304548118	927.102411674662	1.25944221143715e-203	1.1940972387278e-201
YDR216W	3.53184494340119	926.172254856127	2.00621159395648e-203	1.87494803538047e-201
YBR026C	4.38804651257258	924.922906408303	3.7494001300135e-203	3.45472896486596e-201
YPL036W	4.42455057470772	909.683691598336	7.70397704507706e-200	6.99991914290196e-198
YDL223C	3.66478268612071	908.567801316042	1.34676997771635e-199	1.2069272868795e-197
YFR052C-A	5.29602522045901	904.067569011466	1.28109788574805e-198	1.13255977953564e-196
YBR214W	2.82124723038963	896.020239997434	7.19407318393702e-197	6.2751502359088e-195
YPR026W	2.92198410660314	881.628481389332	9.67417104622809e-194	8.3274246032137e-192
YHR137W	5.21090261217282	879.560248101	2.72416727491691e-193	2.31448081980603e-191
YNL274C	3.1166021033629	875.525889722897	2.05248314816858e-192	1.72145445581011e-190
YMR191W	2.77402889894441	855.306066407595	5.10529105418353e-188	4.22769798436312e-186
YPL186C	6.0357012441058	850.198539441986	6.58269088000554e-187	5.38299546712453e-185
YHR096C	6.58341152974936	847.954507907541	2.0242366059821e-186	1.63488344152283e-184
YIL107C	2.671855152183	836.645334455256	5.82003752008589e-184	4.64325432395145e-182
YFR017C	4.24085658296569	813.613607777091	5.91900457723114e-179	4.66531661978869e-177
YPL222W	3.37512688408169	804.324080343282	6.19343190338191e-177	4.82350375141958e-175
YPL275W	4.87689243541997	795.872910203128	4.25958826446889e-175	3.2783795795477e-173
YMR174C	5.17676361127732	791.086264476889	4.67822594114257e-174	3.55871559383194e-172
